buildingAddress
changeAction
compositionType
connectionGeometry
constructionType
contextIdentifier
contextOfItems
contextType
coordinateSpaceDimension
creationDate
description
elementType
elevation
elevationOfRefHeight
elevationOfTerrain
firstMullionOffset
frameDepth
frameThickness
globalId
hasProperties,IfcPropertySingleValue
hasPropertySets,IfcPropertySet,IfcDoorLiningProperties,IfcWindowLiningProperties
interiorOrExteriorSpace
internalOrExternalBoundary
items,IfcTrimmedCurve,IfcBooleanResult,IfcBooleanClippingResult,IfcGeometricSet,IfcExtrudedAreaSolid,IfcShellBasedSurfaceModel,IfcFacetedBrep,IfcPolyline,IfcBoundingBox,IfcFaceBasedSurfaceModel,IfcGeometricCurveSet,IfcMappedItem
landTitleNumber
liningDepth
liningOffset
liningThickness
longName
methodOfMeasurement
mullionThickness
name
numberOfRiser
numberOfTreads
objectPlacement
objectType
operationType
overallHeight
overallWidth
ownerHistory
owningApplication
owningUser
panelDepth
panelOperation
panelPosition
panelWidth
parameterTakesPrecedence
parentContext
phase
physicalOrVirtualBoundary
precision
predefinedType
quantities,IfcQuantityArea,IfcQuantityLength
refElevation
refLatitude
refLongitude
relatedBuildingElement
relatedConnectionType
relatedElement
relatedElements,IfcMember,IfcWallStandardCase,IfcFlowTerminal,IfcWall,IfcFurnishingElement,IfcSlab,IfcFlowFitting,IfcColumn,IfcEnergyConversionDevice,IfcFlowMovingDevice,IfcDoor,IfcFlowSegment,IfcBuildingElementProxy
relatedObjects,IfcFlowTerminal,IfcDoorStyle,IfcRailing,IfcRoof,IfcFlowMovingDevice,IfcWindowStyle,IfcFlowSegment,IfcBuilding,IfcWall,IfcFurnishingElement,IfcFurnitureType,IfcSpatialZone,IfcDoor,IfcBuildingStorey,IfcPlate,IfcStair,IfcBeam,IfcWallStandardCase,IfcDistributionElement,IfcGroup,IfcCovering,IfcSlab,IfcFlowFitting,IfcWindow,IfcWallType,IfcPlateType,IfcBuildingElementProxy,IfcCurtainWall,IfcMember,IfcSpace,IfcStairFlight,IfcOpeningElement,IfcBuildingElementPart,IfcBuildingElementProxyType,IfcColumn,IfcSite,IfcEnergyConversionDevice,IfcFlowController
relatedOpeningElement
relatedPriorities
relatingBuildingElement
relatingClassification
relatingConnectionType
relatingElement
relatingGroup
relatingMaterial
relatingObject
relatingOpeningElement
relatingPriorities
relatingPropertyDefinition
relatingSpace
relatingStructure
relatingType
representation
representationContexts,IfcGeometricRepresentationContext
representationIdentifier
representationMaps,IfcRepresentationMap
representationType
riserHeight
shapeType
siteAddress
sizeable
state
tag
targetScale
targetView
thresholdDepth
thresholdOffset
thresholdThickness
transomOffset
transomThickness
treadLength
trueNorth
type
unitsInContext
worldCoordinateSystem
