space_id;space_name;space_longname;spatialzone_name;spatialzone_longname;spatialzone_type;storey_id;storey_name;building_id;building_name;parent_id;parent_name;parent_type;parent_longname
38500890-dc96-45c9-be66-f8523ab94515;Pyörähdysympyrä 31:Turning Free Space 1300:1884181;;;;;;;;;328f0778-34bd-44b8-8007-d579f58d69a4;KITCHEN:1721287;IfcSpace;KITCHEN
38500890-dc96-45c9-be66-f8523ab9451e;Pyörähdysympyrä 32:Turning Free Space 1300:1884190;;;;;;;;;328f0778-34bd-44b8-8007-d579f58d69ae;VESTIBULE:1721293;IfcSpace;VESTIBULE
38500890-dc96-45c9-be66-f8523ab94545;Pyörähdysympyrä 33:Turning Free Space 1300:1884229;;;;;;;;;65d681d3-06bc-4853-be8c-94f762e8ecf1;VESTIBULE:1721429;IfcSpace;VESTIBULE
38500890-dc96-45c9-be66-f8523ab9454e;Pyörähdysympyrä 34:Turning Free Space 1300:1884238;;;;;;;;;65d681d3-06bc-4853-be8c-94f762e8ece2;KITCHEN:1721414;IfcSpace;KITCHEN
38500890-dc96-45c9-be66-f8523ab94557;Pyörähdysympyrä 35:Turning Free Space 1300:1884247;;;;;;;;;65d681d3-06bc-4853-be8c-94f762e8ecf1;VESTIBULE:1721429;IfcSpace;VESTIBULE
23bafde2-2e19-4521-9ac3-c480b0afee36;Pyörähdysympyrä 36:Turning Free Space 1500:1886946;;;;;;;;;328f0778-34bd-44b8-8007-d579f58d69b3;VESTIBULE:1721296;IfcSpace;VESTIBULE
23bafde2-2e19-4521-9ac3-c480b0afeff6;Pyörähdysympyrä 37:Turning Free Space 1500:1887010;;;;;;;;;65d681d3-06bc-4853-be8c-94f762e8ecfc;VESTIBULE:1721432;IfcSpace;VESTIBULE
23bafde2-2e19-4521-9ac3-c480b0afef94;Pyörähdysympyrä 38:Turning Free Space 1500:1887040;;;;;;;;;b8ecb908-5f21-4971-9efe-e7c6855402e4;AS-1.03;IfcSpace;VESTIBULE
23bafde2-2e19-4521-9ac3-c480b0afef9d;Pyörähdysympyrä 39:Turning Free Space 1500:1887049;;;;;;;;;b8ecb908-5f21-4971-9efe-e7c6855402e4;AS-1.03;IfcSpace;VESTIBULE
4f9f9c8e-87c3-4dbb-bc67-8923e8b11ba2;Pyörähdysympyrä 4:Turning Free Space 1500:1546465;;;;;;;;;b8ecb908-5f21-4971-9efe-e7c6855402c2;AS-1.04;IfcSpace;BATHROOM
5e09a656-a98c-4a96-a258-01bdbce4dd5d;Pyörähdysympyrä 40:Turning Free Space 1500:1903542;;;;;;;;;e6d91338-448c-4dbc-a702-10a95c33f1c9;KITCHEN:1880390;IfcSpace;KITCHEN
f2f44971-f998-4af9-8a33-8be9309abf5a;Pyörähdysympyrä 41:Turning Free Space 1500:1961067;;;;;;;;;e779a225-68fd-429f-b944-faaf70e06cca;VESTIBULE:1398339;IfcSpace;VESTIBULE
38500890-dc96-45c9-be66-f8523ab93a2c;Pyörähdysympyrä 42:Turning Free Space 1300:1883948;;;;;;;;;b8ecb908-5f21-4971-9efe-e7c6855402e7;VESTIBULE:1717903;IfcSpace;VESTIBULE
d9c3bdc8-8b33-424a-b7c7-de3a24954543;Pyörähdysympyrä 43:Pyörähdysympyrä 1500:1399673;;;;;;;;;cf8a9188-d597-45b8-837c-7668edc6a1d0;STAIRCASE:1704856;IfcSpace;STAIRCASE
88eab001-5367-425b-8f75-fe22bc0ec549;Pyörähdysympyrä 6:Turning Free Space 1500:1551210;;;;;;;;;328f0778-34bd-44b8-8007-d579f58d69b3;VESTIBULE:1721296;IfcSpace;VESTIBULE
88eab001-5367-425b-8f75-fe22bc0ec5d3;Pyörähdysympyrä 7:Turning Free Space 1500:1551344;;;;;;;;;328f0778-34bd-44b8-8007-d579f58d69bf;ROOM:1721308;IfcSpace;ROOM
88eab001-5367-425b-8f75-fe22bc0ec23c;Pyörähdysympyrä 8:Turning Free Space 1500:1551391;;;;;;;;;328f0778-34bd-44b8-8007-d579f58d69b0;BATHROOM:1721299;IfcSpace;BATHROOM
23bafde2-2e19-4521-9ac3-c480b0afefcd;Pyörähdysympyrä 9:Turning Free Space 1500:1887001;;;;;;;;;65d681d3-06bc-4853-be8c-94f762e8ecfc;VESTIBULE:1721432;IfcSpace;VESTIBULE
b8ecb908-5f21-4971-9efe-e7c6855402f0;ROOM:1717912;ROOM;Apartment 02.HSTO.AS2;Apartment 02.HSTO.AS2;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
b8ecb908-5f21-4971-9efe-e7c6855402f6;ROOM:1717918;ROOM;Apartment 02.HSTO.AS2;Apartment 02.HSTO.AS2;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
